ProbeSetID	GeneSymbol	IFN.FC	IFNAR_KO.FC	IFNAR_KO.pval	Cell.type	ortholog_name	Group
10383206	Rnf213	2.95	2.39	2.054	MF	Rnf213	Tonic-sensitive
10383208	Rnf213	3.56	2.19	1.696	MF	Rnf213	Tonic-sensitive
10383210	Rnf213	2.95	1.89	2.084	MF	Rnf213	Tonic-sensitive
10383212	Rnf213	2.85	2.1	2.063	MF	Rnf213	Tonic-sensitive
10383214	Rnf213	2.86	1.76	2.178	MF	Rnf213	Tonic-sensitive
10383233	Rnf213	2.94	1.8	1.92	MF	Rnf213	Tonic-sensitive
10385500	Irgm1	7.89	1.07	0.078	MF	Irgm	Tonic-insensitive
10385504	Gm5431	6.21	1.09	0.218	MF	RGD1559575	Tonic-insensitive
10385507	Gm12185	3.39	0.77	0.805	MF	RGD1559575	Tonic-insensitive
10385518	Tgtp1	10.91	0.51	0.269	MF	NA	Tonic-insensitive
10385533	Tgtp1	10.7	0.46	0.291	MF	NA	Tonic-insensitive
10389134	Slfn9	7.24	1.28	0.962	MF	Slfn13	Tonic-insensitive
10389143	Slfn8	5.06	1.19	0.806	MF	Slfn13	Tonic-insensitive
10389151	Slfn10-ps	3.8	1.12	0.465	MF	NA	Tonic-insensitive
10389231	Ccl3	2.89	0.74	0.92	MF	Ccl3	Tonic-insensitive
10391207	Dhx58	3.51	1.54	1.508	MF	Dhx58	Tonic-sensitive
10394674	Socs2	5.97	1.14	0.979	MF	Socs2	Tonic-insensitive
10395039	Cmpk2	20.08	1.2	0.553	MF	Cmpk2	Tonic-insensitive
10395259	Nampt	2.65	1.09	0.29	MF	Nampt	Tonic-insensitive
10395273	Gdap10	5.01	1.08	0.275	MF	NA	Tonic-insensitive
10398039	Serpina3f	4.55	0.84	0.194	MF	RGD1565462	Tonic-insensitive
10399710	Rsad2	37.39	2.08	2.065	MF	Rsad2	NA
10405125	Fbxw17	3.01	1.02	0.172	MF	Fbxw17	Tonic-insensitive
10406982	Adamts6	2.56	0.92	0.406	MF	Adamts6	Tonic-insensitive
10409866	Ctla2b	3.32	0.83	0.656	MF	Ctla2a	Tonic-insensitive
10410435	Papd7	3.76	1.15	0.865	MF	NA	Tonic-insensitive
10414514	Pnp	3.26	1.27	1.368	MF	Pnp	NA
10414514	Pnp	3.26	1.27	1.368	MF	ENSRNOG00000063999	NA
10414527	Pnp2	2.77	1.39	2.225	MF	Pnp	Tonic-sensitive
10414527	Pnp2	2.77	1.39	2.225	MF	ENSRNOG00000063999	Tonic-sensitive
10416566	Epsti1	2.58	1.08	0.547	MF	Epsti1	Tonic-insensitive
10419288	Gch1	3.02	0.97	0.076	MF	Gch1	Tonic-insensitive
10420483	Phf11	4.97	1.41	1.374	MF	Phf11	NA
10420483	Phf11	4.97	1.41	1.374	MF	Phf11b	NA
10420483	Phf11	4.97	1.41	1.374	MF	ENSRNOG00000065100	NA
10420483	Phf11	4.97	1.41	1.374	MF	ENSRNOG00000069746	NA
10420488	D14Ertd668e	4.53	2.14	2.106	MF	NA	Tonic-sensitive
10420497	Gm6907	7.45	1.11	0.27	MF	NA	Tonic-insensitive
10420503	Setdb2	6.19	1.05	0.151	MF	Setdb2	Tonic-insensitive
10421697	9030625A04Rik	2.7	0.9	1.034	MF	NA	Tonic-insensitive
10425321	Apobec3	2.86	0.81	0.81	MF	Apobec3	Tonic-insensitive
10429564	Ly6a	3.39	1.08	0.099	MF	NA	Tonic-insensitive
10430645	D730005E14Rik	4.6	0.97	0.061	MF	NA	Tonic-insensitive
10434778	Rtp4	3.57	14.26	2.318	MF	Rtp4	Tonic-sensitive
10435457	Parp9	4.58	1.26	1.031	MF	Parp9	Tonic-insensitive
10437224	Mx2	25.96	2.06	1.931	MF	Mx2	NA
10437668	Socs1	3.51	1.19	0.775	MF	Socs1	Tonic-insensitive
10439249	Parp14	4.86	1.36	1.721	MF	Parp14	NA
10439268	Dtx3l	3.27	0.99	0.043	MF	Dtx3l	Tonic-insensitive
10440002	Gpr128	2.59	1.24	1.311	MF	NA	NA
10441233	Mx1	25	2.16	1.292	MF	Mx1	NA
10441601	Tagap	4.02	0.84	0.645	MF	Tagap	Tonic-insensitive
10443527	Pim1	2.85	1.51	1.07	MF	Pim1	Tonic-sensitive
10444056	Daxx	4.73	1.11	0.966	MF	Daxx	Tonic-insensitive
10444244	Tap1	2.81	1.11	0.133	MF	Tap1	Tonic-insensitive
10447629	Tagap1	3.07	0.93	0.395	MF	Tagap	Tonic-insensitive
10450675	H2-T24	4.01	1.81	1.464	MF	RT1-T24-1	Tonic-sensitive
10450675	H2-T24	4.01	1.81	1.464	MF	RT1-T24-4	Tonic-sensitive
10451054	Enpp4	3.67	1.03	0.105	MF	Enpp4	Tonic-insensitive
10451287	Isg15	2.72	1.08	0.353	MF	Isg15	Tonic-insensitive
10451646	A530064D06Rik	3.97	0.69	1.412	MF	AABR07066753.1	Tonic-insensitive
10451646	A530064D06Rik	3.97	0.69	1.412	MF	RGD1307182	Tonic-insensitive
10451646	A530064D06Rik	3.97	0.69	1.412	MF	ENSRNOG00000042468	Tonic-insensitive
10452980	Eif2ak2	4.6	1.51	1.52	MF	Eif2ak2	Tonic-sensitive
10455472	Dcp2	2.79	1.25	2.868	MF	Dcp2	NA
10455954	Gm4951	5.57	2.26	1.587	MF	MGC108823	Tonic-sensitive
10455961	Iigp1	33.05	1.29	0.266	MF	MGC108823	Tonic-insensitive
10455970	BC023105	22.69	0.4	0.292	MF	NA	Tonic-insensitive
10459066	Gm4841	5.86	1.12	0.262	MF	NA	Tonic-insensitive
10460767	Batf2	2.71	1	0.011	MF	Batf2	Tonic-insensitive
10461594	Ms4a4c	19.66	1.21	0.731	MF	AABR07006278.1	Tonic-insensitive
10461594	Ms4a4c	19.66	1.21	0.731	MF	Ms4a4c	Tonic-insensitive
10461594	Ms4a4c	19.66	1.21	0.731	MF	AABR07006275.1	Tonic-insensitive
10461622	Ms4a6b	3.64	1.38	1.107	MF	Ms4a6b	NA
10461622	Ms4a6b	3.64	1.38	1.107	MF	Ms4a6bl	NA
10462390	Cd274	7.6	0.95	0.21	MF	Cd274	Tonic-insensitive
10462613	Ifit2	32.65	1.15	0.676	MF	Ifit2	Tonic-insensitive
10462618	Ifit3	59.62	1.73	1.331	MF	Ifit3	Tonic-insensitive
10462621	I830012O16Rik	48.46	1.03	0.346	MF	NA	Tonic-insensitive
10462623	Ifit1	51.14	1.81	1.665	MF	Ifit1	Tonic-insensitive
10463112	Ccnj	3.11	1.06	0.332	MF	NA	Tonic-insensitive
10466172	Ms4a1	2.61	0.79	0.311	MF	Ms4a1	Tonic-insensitive
10467149	2010002M12Rik	5.12	1.16	1.365	MF	NA	Tonic-insensitive
10469289	Il15ra	2.78	0.96	0.191	MF	Il15ra	Tonic-insensitive
10473356	Ube2l6	3.23	1.11	0.296	MF	Ube2l6	Tonic-insensitive
10483110	Ifih1	4.1	1.23	1.044	MF	Ifih1	Tonic-insensitive
10483381	Stk39	3.05	1.2	0.673	MF	Oxsr1	Tonic-insensitive
10483381	Stk39	3.05	1.2	0.673	MF	Stk39	Tonic-insensitive
10485378	Prr5l	5.02	1.27	0.705	MF	Prr5l	Tonic-insensitive
10489850	Znfx1	2.94	1.15	1.532	MF	Znfx1	Tonic-insensitive
10490150	Zbp1	4.75	1.69	1.133	MF	Zbp1	Tonic-sensitive
10490632	BC006779	3.73	1.69	2.807	MF	NA	Tonic-sensitive
10490903	Car13	3.9	1.12	0.452	MF	AABR07063126.1	Tonic-insensitive
10490903	Car13	3.9	1.12	0.452	MF	Ca13	Tonic-insensitive
10491091	Tnfsf10	10.8	1.23	1.544	MF	Tnfsf10	Tonic-insensitive
10493565	Adar	2.52	1.39	2.122	MF	Adar	Tonic-sensitive
10495574	Sass6	3.82	1.05	0.132	MF	Sass6	Tonic-insensitive
10496539	Gbp5	10.98	0.7	0.427	MF	Gbp5	Tonic-insensitive
10496569	Gbp6	3.95	0.78	0.577	MF	Gbp6	Tonic-insensitive
10496569	Gbp6	3.95	0.78	0.577	MF	ENSRNOG00000066766	Tonic-insensitive
10497399	Pde7a	2.97	0.97	0.191	MF	Pde7a	Tonic-insensitive
10498350	P2ry14	2.85	1	0.01	MF	P2ry14	Tonic-insensitive
10498367	P2ry13	2.76	0.92	0.357	MF	P2ry13	Tonic-insensitive
10500335	Fcgr1	3.76	1.83	1.127	MF	Fcgr1a	Tonic-sensitive
10500911	Mov10	2.54	1.05	0.165	MF	Mov10	Tonic-insensitive
10501164	Csf1	4.23	0.91	0.26	MF	Csf1	Tonic-insensitive
10502071	5730508B09Rik	2.72	1.02	0.053	MF	NA	Tonic-insensitive
10502791	Ifi44	8.57	1.42	2.263	MF	Ifi44	Tonic-insensitive
10504606	Aldh1b1	3.31	1.13	1.127	MF	Aldh1b1	Tonic-insensitive
10504672	Tdrd7	2.82	1.14	0.925	MF	Tdrd7	Tonic-insensitive
10510270	Mthfr	2.67	1.14	1.151	MF	Mthfr	Tonic-insensitive
10511588	Tmem67	2.98	0.94	0.428	MF	Tmem67	Tonic-insensitive
10512067	Ddx58	3.96	1.38	1.694	MF	Ddx58	NA
10512766	Trim14	2.53	1.11	0.966	MF	Trim14	Tonic-insensitive
10519983	Fgl2	4.03	1.18	0.465	MF	Fgl2	Tonic-insensitive
10520452	Il6	6.49	1	0.006	MF	Il6	Tonic-insensitive
10523012	Dck	3.08	1.69	2.083	MF	Dck	Tonic-sensitive
10523563	Cds1	3.2	1.21	2.122	MF	Cds1	Tonic-insensitive
10524621	Oasl2	4.11	4.9	2.213	MF	Oasl2	Tonic-sensitive
10524631	Oasl1	10.72	1.45	1.805	MF	Oasl	Tonic-insensitive
10525158	Oas1b	5.95	1.3	1.144	MF	Oas1k	Tonic-insensitive
10526120	Tpst1	3.43	1.12	0.751	MF	Tpst1	Tonic-insensitive
10530467	Nfxl1	3.75	1.02	0.072	MF	Nfxl1	Tonic-insensitive
10530477	Nfxl1	3.48	1.12	0.791	MF	Nfxl1	Tonic-insensitive
10530492	Nfxl1	3.45	0.97	0.064	MF	Nfxl1	Tonic-insensitive
10531415	Cxcl10	45.26	1.07	0.327	MF	Cxcl10	Tonic-insensitive
10531610	Rasgef1b	6.61	0.82	0.444	MF	Rasgef1b	Tonic-insensitive
10531972	Gbp8	2.62	1.05	0.099	MF	Gbp6	Tonic-insensitive
10531972	Gbp8	2.62	1.05	0.099	MF	ENSRNOG00000066766	Tonic-insensitive
10531980	Gbp9	4.85	1.18	0.231	MF	Gbp6	Tonic-insensitive
10531980	Gbp9	4.85	1.18	0.231	MF	ENSRNOG00000066766	Tonic-insensitive
10531987	Gbp4	10.46	0.84	0.197	MF	Gbp4	Tonic-insensitive
10531987	Gbp4	10.46	0.84	0.197	MF	Gbp6	Tonic-insensitive
10531987	Gbp4	10.46	0.84	0.197	MF	ENSRNOG00000066766	Tonic-insensitive
10531994	Mpa2l	4.94	1.44	0.625	MF	NA	NA
10532019	Gbp11	5.9	1.12	0.287	MF	Gbp6	Tonic-insensitive
10532019	Gbp11	5.9	1.12	0.287	MF	ENSRNOG00000066766	Tonic-insensitive
10533198	Oas2	3.28	10.12	2.695	MF	Oas2	Tonic-sensitive
10533213	Oas3	5.95	3.14	1.682	MF	Oas3	Tonic-sensitive
10533246	Oas1g	3.15	6.27	2.875	MF	Oas1a	Tonic-sensitive
10533246	Oas1g	3.15	6.27	2.875	MF	Oas1k	Tonic-sensitive
10533256	Oas1a	3.4	2.96	4.028	MF	Oas1a	Tonic-sensitive
10533256	Oas1a	3.4	2.96	4.028	MF	Oas1k	Tonic-sensitive
10533304	Trafd1	2.69	1.24	0.969	MF	Trafd1	NA
10538590	Herc6	6.36	0.95	0.159	MF	Herc6	Tonic-insensitive
10541307	Usp18	18.21	3.96	1.955	MF	Usp18	Tonic-sensitive
10542040	Parp11	3.23	0.92	0.472	MF	Parp11	Tonic-insensitive
10542156	Clec2d	2.7	1.17	0.603	MF	ENSRNOG00000030522	Tonic-insensitive
10542156	Clec2d	2.7	1.17	0.603	MF	ENSRNOG00000037076	Tonic-insensitive
10542156	Clec2d	2.7	1.17	0.603	MF	Clec2d	Tonic-insensitive
10542156	Clec2d	2.7	1.17	0.603	MF	AABR07062138.2	Tonic-insensitive
10542156	Clec2d	2.7	1.17	0.603	MF	Clec2d2	Tonic-insensitive
10542156	Clec2d	2.7	1.17	0.603	MF	ENSRNOG00000069744	Tonic-insensitive
10542911	Samd9l	3.26	1.08	0.258	MF	ENSRNOG00000063679	Tonic-insensitive
10542911	Samd9l	3.26	1.08	0.258	MF	ENSRNOG00000065666	Tonic-insensitive
10544133	Parp12	3.25	1.24	1.138	MF	Parp12	NA
10544982	Nt5c3	5.14	1.17	1.195	MF	Nt5c3a	Tonic-insensitive
10545001	Ppm1k	5.56	0.91	0.277	MF	Ppm1k	Tonic-insensitive
10548333	Cd69	16.73	0.95	0.29	MF	Cd69	Tonic-insensitive
10549544	Gm10388	3.15	0.59	1.151	MF	NA	Tonic-insensitive
10554240	Isg20	3.5	1.28	2.178	MF	Isg20	NA
10555862	Trim34	2.57	1.07	0.428	MF	NA	Tonic-insensitive
10566144	Trim21	3.22	1.05	0.268	MF	Trim21	Tonic-insensitive
10566326	Trim12a	2.71	0.99	0.037	MF	Trim5	Tonic-insensitive
10566350	A530023O14Rik	2.87	1.26	0.508	MF	NA	NA
10566366	Trim30d	3.52	1.08	0.273	MF	Trim30c	Tonic-insensitive
10566574	Gvin1	2.86	1.16	0.333	MF	Gvin1	Tonic-insensitive
10569102	Irf7	6.17	2.02	1.431	MF	Irf7	Tonic-sensitive
10569168	Slc25a22	3.06	1.17	0.896	MF	Slc25a22	Tonic-insensitive
10571984	Ddx60	7.15	1.43	0.927	MF	AABR07025272.1	NA
10571984	Ddx60	7.15	1.43	0.927	MF	AABR07025140.1	NA
10574098	Nlrc5	3.44	0.89	0.114	MF	Nlrc5	Tonic-insensitive
10574102	Nlrc5	3.54	0.83	0.2	MF	Nlrc5	Tonic-insensitive
10574104	Nlrc5	3.2	0.91	0.093	MF	Nlrc5	Tonic-insensitive
10574135	Nlrc5	3.77	0.86	0.155	MF	Nlrc5	Tonic-insensitive
10574137	Nlrc5	2.94	0.92	0.116	MF	Nlrc5	Tonic-insensitive
10574139	Nlrc5	4.06	0.82	0.326	MF	Nlrc5	Tonic-insensitive
10574145	Nlrc5	4.22	0.91	0.079	MF	Nlrc5	Tonic-insensitive
10574149	Nlrc5	3.31	1.06	0.058	MF	Nlrc5	Tonic-insensitive
10574151	Nlrc5	2.81	0.93	0.093	MF	Nlrc5	Tonic-insensitive
10574157	Nlrc5	2.71	0.86	0.157	MF	Nlrc5	Tonic-insensitive
10574163	Nlrc5	3	0.92	0.11	MF	Nlrc5	Tonic-insensitive
10578493	Tlr3	4.11	0.78	1.557	MF	Tlr3	Tonic-insensitive
10579958	Il15	5.75	0.94	0.357	MF	Il15	Tonic-insensitive
10580754	9330175E14Rik	3.59	1.19	0.757	MF	NA	Tonic-insensitive
10581813	Mlkl	2.72	1.05	0.232	MF	Mlkl	Tonic-insensitive
10582860	A530040E14Rik	4.65	0.99	0.022	MF	NA	Tonic-insensitive
10582862	Arhgef12	2.73	0.89	0.338	MF	Arhgef12	Tonic-insensitive
10582879	Csprs	4.23	1.8	2.397	MF	Csprs	Tonic-sensitive
10585194	Il18	3.33	0.86	0.572	MF	Il18	Tonic-insensitive
10593332	Bco2	2.9	0.92	0.312	MF	Bco2	Tonic-insensitive
10595171	E330016A19Rik	2.81	1.22	1.421	MF	NA	NA
10597279	Ccrl2	2.58	0.86	0.643	MF	Ccrl2	Tonic-insensitive
10603208	Mid1	3.29	0.92	0.187	MF	Mid1	Tonic-insensitive
10607950	G530011O06Rik	11.82	1.25	0.394	MF	NA	Tonic-insensitive
