SYMBOL	FC.Mouse A	FC.Mouse D	FC.Mouse B	FC.Mouse C	FC.Rat	FDR.Mouse A	FDR.Mouse D	FDR.Mouse B	FDR.Mouse C	FDR.Rat	DE.Mouse A	DE.Mouse D	DE.Mouse B	DE.Mouse C	DE.Rat
Prtg	1.08	NA	NA	NA	1.01	0.2642	NA	NA	NA	0.98	0	NA	NA	NA	0
Fnbp1	1.03	1.08	1.28	1.22	-1.21	0.2642	0.5231	0.4044	NA	0.8522	0	0	0	0	0
Impact	-1.08	1.12	1.11	1.22	1.1	0.2644	0.421	0.787	NA	0.9922	0	0	0	0	0
4930527J03Rik	1.04	NA	NA	1.03	NA	0.2644	NA	NA	NA	NA	0	NA	NA	0	NA
Igkv6-13	1.04	-1.02	2.17	NA	NA	0.2644	0.8757	0.6524	NA	NA	0	0	0	NA	NA
Gm12754	1.07	NA	NA	NA	NA	0.2644	NA	NA	NA	NA	0	NA	NA	NA	NA
Wdr35	-1.05	NA	NA	1.08	1.23	0.2645	NA	NA	NA	0.9747	0	NA	NA	0	0
Trav19	1.09	1.13	1.11	NA	NA	0.2645	0.9154	0.8566	NA	NA	0	0	0	NA	NA
Mir615	1.11	NA	NA	NA	NA	0.2646	NA	NA	NA	NA	0	NA	NA	NA	NA
4930524J08Rik	1.13	NA	NA	1.06	NA	0.2646	NA	NA	NA	NA	0	NA	NA	0	NA
Mir199b	1.06	NA	NA	NA	NA	0.2646	NA	NA	NA	NA	0	NA	NA	NA	NA
Xkr6	1.06	NA	NA	NA	-1.48	0.2646	NA	NA	NA	0.7137	0	NA	NA	NA	0
LOC105245406	1.12	NA	NA	NA	NA	0.2648	NA	NA	NA	NA	0	NA	NA	NA	NA
Sertad4	-1.08	NA	NA	-2.42	-1.34	0.2648	NA	NA	NA	0.9143	0	NA	NA	-1	0
Traj54	1.11	NA	NA	NA	NA	0.2648	NA	NA	NA	NA	0	NA	NA	NA	NA
Krtap5-2	1.1	NA	NA	NA	NA	0.2649	NA	NA	NA	NA	0	NA	NA	NA	NA
Tcl1b1	1.1	-1.01	1.02	1.21	NA	0.2651	0.9875	0.9782	NA	NA	0	0	0	0	NA
4931423N10Rik	-1.07	NA	NA	1.27	NA	0.2651	NA	NA	NA	NA	0	NA	NA	0	NA
Ccdc144b	1.1	NA	NA	NA	1.05	0.2652	NA	NA	NA	0.9824	0	NA	NA	NA	0
Stfa1	-1.16	NA	NA	-4.86	-2.51	0.2652	NA	NA	NA	0.413	0	NA	NA	-1	0
C230062I16Rik	1.04	NA	NA	NA	NA	0.2652	NA	NA	NA	NA	0	NA	NA	NA	NA
Hsp90ab1	-1.1	1.16	1.23	NA	1.01	0.2652	0.7197	0.6693	NA	0.9886	0	0	0	NA	0
Rhoc	1.18	1.06	1.1	-1.34	-1.1	0.2652	0.9453	0.8021	NA	0.9922	0	0	0	0	0
2900041M22Rik	1.07	NA	NA	1.18	NA	0.2652	NA	NA	NA	NA	0	NA	NA	0	NA
Gm10538	1.21	NA	NA	NA	NA	0.2652	NA	NA	NA	NA	0	NA	NA	NA	NA
4921504E06Rik	1.07	NA	NA	1.18	1.29	0.2653	NA	NA	NA	0.9576	0	NA	NA	0	0
Hecw2	-1.05	NA	NA	NA	-1.46	0.2654	NA	NA	NA	0.9184	0	NA	NA	NA	0
Olfr285	1.09	NA	NA	NA	NA	0.2654	NA	NA	NA	NA	0	NA	NA	NA	NA
Olfr257	1.09	NA	NA	NA	NA	0.2654	NA	NA	NA	NA	0	NA	NA	NA	NA
Klhl22	1.1	NA	NA	NA	-1.55	0.2654	NA	NA	NA	0.4954	0	NA	NA	NA	0
Gm10654	1.09	NA	NA	NA	NA	0.2654	NA	NA	NA	NA	0	NA	NA	NA	NA
Il18	-1.05	-1.08	-1.2	-1.09	-3.21	0.2654	0.929	0.5387	NA	0.6435	0	0	0	0	0
Bloc1s6	1.08	NA	NA	NA	NA	0.2654	NA	NA	NA	NA	0	NA	NA	NA	NA
B430218F22Rik	1.16	NA	NA	NA	NA	0.2654	NA	NA	NA	NA	0	NA	NA	NA	NA
Gabpa	-1.11	1.24	-1.1	-1.57	-1.04	0.2654	0.6972	0.7614	NA	0.9932	0	0	0	0	0
Gm7276	1.1	NA	NA	NA	NA	0.2654	NA	NA	NA	NA	0	NA	NA	NA	NA
Ins2	-1.05	-5.85	-28.83	-2.14	-9.44	0.2655	0.1266	0.0129	NA	3e-4	0	0	-1	-1	-1
1700021P04Rik	1.09	NA	NA	1.12	NA	0.2655	NA	NA	NA	NA	0	NA	NA	0	NA
Repin1	-1.07	1.15	1.18	1.05	1.98	0.2656	0.9028	0.6279	NA	0.6222	0	0	0	0	0
Agxt	-1.1	-1.04	-1.24	-1.48	-5.73	0.2656	0.6796	0.5439	NA	0.0105	0	0	0	0	-1
Gm9821	1.13	NA	NA	NA	NA	0.2656	NA	NA	NA	NA	0	NA	NA	NA	NA
Gm10822	1.11	NA	NA	NA	NA	0.2656	NA	NA	NA	NA	0	NA	NA	NA	NA
Itsn1	-1.08	-1.28	1.04	-1.08	-1.31	0.2656	0.8254	0.955	NA	0.9049	0	0	0	0	0
Gm23970	1.04	NA	NA	NA	NA	0.2657	NA	NA	NA	NA	0	NA	NA	NA	NA
Gnmt	1.18	-1.06	-1.19	-1.39	-1.22	0.2659	0.927	0.5825	NA	0.6896	0	0	0	0	0
4930480E11Rik	1.14	NA	NA	1.02	NA	0.2659	NA	NA	NA	NA	0	NA	NA	0	NA
Mblac1	1.05	NA	NA	NA	NA	0.2659	NA	NA	NA	NA	0	NA	NA	NA	NA
Psmd9	1.15	-1.15	-1.06	-1.19	NA	0.2659	0.8254	0.9221	NA	NA	0	0	0	0	NA
Alk	1.13	-1.04	1.16	1.27	-1.2	0.2659	0.8096	0.6392	NA	0.9598	0	0	0	0	0
Nudt12	-1.17	NA	NA	-1.08	1.08	0.266	NA	NA	NA	0.9747	0	NA	NA	0	0
Pkp4	-1.09	-1.09	-1.8	-2.08	1.14	0.266	0.5527	0.4152	NA	0.9844	0	0	0	0	0
Bach1	-1.18	1.42	1.18	-1.77	1.04	0.266	0.628	0.5936	NA	0.975	0	0	0	0	0
Gm568	1.14	NA	NA	1.17	NA	0.266	NA	NA	NA	NA	0	NA	NA	0	NA
Gm5795	-1.12	NA	NA	NA	-9.14	0.266	NA	NA	NA	6e-4	0	NA	NA	NA	-1
Gm8279	-1.12	NA	NA	NA	-9.14	0.266	NA	NA	NA	6e-4	0	NA	NA	NA	-1
Gm3012	-1.12	NA	NA	NA	-9.14	0.266	NA	NA	NA	6e-4	0	NA	NA	NA	-1
Mvb12b	-1.09	NA	NA	NA	1.15	0.2661	NA	NA	NA	0.9462	0	NA	NA	NA	0
Plcl2	1.07	NA	NA	1.2	1.15	0.2662	NA	NA	NA	0.9267	0	NA	NA	0	0
Vangl1	1.09	NA	NA	-1.05	-1.18	0.2662	NA	NA	NA	0.9595	0	NA	NA	0	0
Gpr1	1.13	NA	NA	1.15	1.08	0.2662	NA	NA	NA	0.9495	0	NA	NA	0	0
Ifnab	1.09	1.16	1.11	NA	-1.13	0.2662	0.7053	0.8183	NA	0.9792	0	0	0	NA	0
Tspan7	-1.18	-1.1	1.12	NA	-1.12	0.2662	0.9964	0.7289	NA	0.9949	0	0	0	NA	0
Dnm1	-1.16	-1.49	-1.9	-1.06	1.45	0.2663	0.2041	0.0952	NA	0.846	0	0	0	0	0
Tgm4	-1.01	NA	NA	-1.01	-2.36	0.2663	NA	NA	NA	0.0223	0	NA	NA	0	-1
Bcas1	-1.06	NA	NA	-1.56	1.06	0.2663	NA	NA	NA	0.9047	0	NA	NA	0	0
Fam65b	-1.14	-1.1	-1.43	NA	NA	0.2663	0.5368	0.2915	NA	NA	0	0	0	NA	NA
Gemin8	1.18	NA	NA	NA	1.45	0.2663	NA	NA	NA	0.8449	0	NA	NA	NA	0
Fxyd7	1.14	-1.02	-1.03	-1.09	-1.52	0.2665	0.9174	0.9748	NA	0.6882	0	0	0	0	0
Tm2d1	1.07	-1.03	1.1	NA	1.48	0.2665	0.975	0.8082	NA	0.8508	0	0	0	NA	0
D730003I15Rik	1.15	NA	NA	NA	NA	0.2666	NA	NA	NA	NA	0	NA	NA	NA	NA
Tsen2	-1.12	NA	NA	NA	-1.64	0.2666	NA	NA	NA	0.3398	0	NA	NA	NA	0
Lhfpl4	1.04	NA	NA	-1.02	-1.08	0.2666	NA	NA	NA	0.9749	0	NA	NA	0	0
Gm10645	1.08	NA	NA	NA	NA	0.2666	NA	NA	NA	NA	0	NA	NA	NA	NA
Kdm8	1.07	NA	NA	NA	-1.32	0.2666	NA	NA	NA	0.8847	0	NA	NA	NA	0
Vmn1r40	1.1	NA	NA	NA	1.06	0.2666	NA	NA	NA	0.9824	0	NA	NA	NA	0
Zfp638	-1.34	-1.03	1.15	NA	-1.01	0.2667	0.8821	0.6498	NA	0.9774	0	0	0	NA	0
Tyw5	-1.11	NA	NA	NA	1.02	0.2668	NA	NA	NA	0.9576	0	NA	NA	NA	0
Icos	1.07	-1.13	1.01	2.18	-1.02	0.2668	0.8507	0.9776	NA	0.9576	0	0	0	1	0
Echdc3	1.13	NA	NA	-1.11	-1.4	0.2668	NA	NA	NA	0.6844	0	NA	NA	0	0
Trdv5	1.2	NA	NA	NA	NA	0.2668	NA	NA	NA	NA	0	NA	NA	NA	NA
Ap3s1-ps2	-1.15	NA	NA	NA	NA	0.2669	NA	NA	NA	NA	0	NA	NA	NA	NA
Mir384	1.06	NA	NA	NA	NA	0.2671	NA	NA	NA	NA	0	NA	NA	NA	NA
Mapk8ip1	1.04	1.02	1.23	1.02	1.09	0.2671	0.8946	0.5327	NA	0.9813	0	0	0	0	0
Cd247	1.06	1.04	1.06	NA	1.32	0.2672	0.9505	0.9175	NA	0.9747	0	0	0	NA	0
Slc39a4	1.06	-1.04	-1.67	-2.73	-1.15	0.2672	0.6011	0.2054	NA	0.9576	0	0	0	0	0
Sgcb	-1.08	1.1	1.27	-1.15	1.54	0.2673	0.9154	0.4899	NA	0.7141	0	0	0	0	0
Efcab1	-1.17	NA	NA	NA	-1.75	0.2673	NA	NA	NA	0.929	0	NA	NA	NA	0
Ddx11	-1.11	NA	NA	1.07	-1.33	0.2673	NA	NA	NA	0.8428	0	NA	NA	0	0
Asb16	1.18	NA	NA	1.26	-1.23	0.2673	NA	NA	NA	0.8694	0	NA	NA	0	0
Xpa	1.15	1.17	-1.17	-1.02	1.39	0.2673	0.3624	0.6693	NA	0.9049	0	0	0	0	0
Rpl9-ps4	-1.1	NA	NA	NA	NA	0.2673	NA	NA	NA	NA	0	NA	NA	NA	NA
Med18	1.19	NA	NA	1.75	1.39	0.2673	NA	NA	NA	0.9212	0	NA	NA	0	0
Pfkp	-1.08	1.15	-1.13	-2.13	1.47	0.2673	0.7291	0.8252	NA	0.6882	0	0	0	0	0
Cxxc5	1.1	1.15	-1.77	-1.37	-1.13	0.2673	0.6605	0.1946	NA	0.9637	0	0	0	0	0
Aig1	-1.15	NA	NA	-1.2	-1.9	0.2673	NA	NA	NA	0.1887	0	NA	NA	0	0
Fdx1l	1.13	-1.01	1.18	NA	NA	0.2674	0.9729	0.7347	NA	NA	0	0	0	NA	NA
Rab14	-1.18	1.23	1.05	1.08	-1.04	0.2674	0.7372	0.9029	NA	0.9922	0	0	0	0	0
Gm25632	-1.2	NA	NA	NA	NA	0.2675	NA	NA	NA	NA	0	NA	NA	NA	NA
Gm22192	-1.2	NA	NA	NA	NA	0.2675	NA	NA	NA	NA	0	NA	NA	NA	NA
Arx	1.14	1.07	1.02	-1.05	-1.03	0.2675	0.7626	0.9606	NA	0.9938	0	0	0	0	0
Sytl1	-1.18	NA	NA	-1.39	1.01	0.2675	NA	NA	NA	0.9938	0	NA	NA	0	0
Cbr4	1.1	NA	NA	NA	-1.94	0.2676	NA	NA	NA	0.5776	0	NA	NA	NA	0
Zfp950	-1.12	NA	NA	NA	NA	0.2676	NA	NA	NA	NA	0	NA	NA	NA	NA
Gm24446	1.13	NA	NA	NA	NA	0.2677	NA	NA	NA	NA	0	NA	NA	NA	NA
Traf3	1.06	1.17	1.15	1.62	1.08	0.2677	0.9474	0.6754	NA	0.9922	0	0	0	1	0
Espn	1.09	NA	NA	-1.12	-1.54	0.2679	NA	NA	NA	0.8918	0	NA	NA	0	0
Mir181b-1	1.04	NA	NA	NA	NA	0.268	NA	NA	NA	NA	0	NA	NA	NA	NA
Aldh16a1	1.12	NA	NA	NA	1.23	0.268	NA	NA	NA	0.9549	0	NA	NA	NA	0
Nol11	-1.05	NA	NA	NA	1.12	0.268	NA	NA	NA	0.9627	0	NA	NA	NA	0
Olfr259	1.09	NA	NA	NA	-1.21	0.2681	NA	NA	NA	0.8649	0	NA	NA	NA	0
Plcg2	-1.06	-1.08	-1.18	-1.22	-1.09	0.2681	0.8179	0.8021	NA	0.995	0	0	0	0	0
Tmem81	1.07	NA	NA	NA	1.15	0.2681	NA	NA	NA	0.9791	0	NA	NA	NA	0
Prdm5	1.14	-1.01	-1.04	-1.19	1.91	0.2681	0.954	0.9307	NA	0.4897	0	0	0	0	0
Bok	1.13	1.11	-1.08	-1.28	1.34	0.2681	0.806	0.8645	NA	0.8857	0	0	0	0	0
Abcb10	-1.13	-1.12	-1.37	-1.12	-1.1	0.2682	0.7685	0.277	NA	0.9844	0	0	0	0	0
Il17rd	1.24	NA	NA	1.04	1.07	0.2682	NA	NA	NA	0.9676	0	NA	NA	0	0
Fhl5	-1.1	NA	NA	1.02	-1.44	0.2682	NA	NA	NA	0.875	0	NA	NA	0	0
Cast	-1.1	1.01	1.12	-1.3	1.01	0.2684	0.9938	0.8365	NA	0.9962	0	0	0	0	0
Lingo3	1.04	NA	NA	NA	1.1	0.2684	NA	NA	NA	0.9431	0	NA	NA	NA	0
Pcyt1b	1.15	NA	NA	1.3	NA	0.2686	NA	NA	NA	NA	0	NA	NA	0	NA
Topaz1	1.08	NA	NA	NA	-1.23	0.2686	NA	NA	NA	0.9051	0	NA	NA	NA	0
Gm25440	1.1	NA	NA	NA	NA	0.2687	NA	NA	NA	NA	0	NA	NA	NA	NA
Igkv4-62	1.09	NA	NA	NA	NA	0.2687	NA	NA	NA	NA	0	NA	NA	NA	NA
Dixdc1	1.14	NA	NA	1.31	-1.27	0.2687	NA	NA	NA	0.8579	0	NA	NA	0	0
Rps19-ps2	1.09	NA	NA	NA	NA	0.2687	NA	NA	NA	NA	0	NA	NA	NA	NA
Rps19-ps1	1.09	NA	NA	NA	NA	0.2687	NA	NA	NA	NA	0	NA	NA	NA	NA
Gm20867	1.1	NA	NA	NA	1.4	0.2688	NA	NA	NA	0.813	0	NA	NA	NA	0
Gm21672	1.1	NA	NA	NA	NA	0.2688	NA	NA	NA	NA	0	NA	NA	NA	NA
Hunk	1.15	NA	NA	1.46	1.37	0.2688	NA	NA	NA	0.782	0	NA	NA	0	0
Ntng1	1.05	NA	NA	1.09	1.48	0.2688	NA	NA	NA	0.7143	0	NA	NA	0	0
Fpr-rs7	1.1	NA	NA	NA	-1.21	0.2689	NA	NA	NA	0.91	0	NA	NA	NA	0
Esam	-1.18	NA	NA	NA	1.57	0.2689	NA	NA	NA	0.9922	0	NA	NA	NA	0
Gm10445	1.19	NA	NA	NA	NA	0.2691	NA	NA	NA	NA	0	NA	NA	NA	NA
Gm26105	1.08	NA	NA	NA	NA	0.2691	NA	NA	NA	NA	0	NA	NA	NA	NA
Olfr874	1.12	NA	NA	NA	1.11	0.2691	NA	NA	NA	0.8213	0	NA	NA	NA	0
1700011E24Rik	1.16	NA	NA	1.23	NA	0.2692	NA	NA	NA	NA	0	NA	NA	0	NA
Tmem253	1.1	NA	NA	NA	1.07	0.2692	NA	NA	NA	0.966	0	NA	NA	NA	0
Mir219a-2	1.21	NA	NA	NA	NA	0.2692	NA	NA	NA	NA	0	NA	NA	NA	NA
Gm3088	1.21	NA	NA	NA	NA	0.2692	NA	NA	NA	NA	0	NA	NA	NA	NA
Dpep2	1.07	NA	NA	NA	-1.44	0.2692	NA	NA	NA	0.966	0	NA	NA	NA	0
Hdgf	-1.05	-1.11	-1.12	-1.94	-1.14	0.2692	0.8224	0.7151	NA	0.9576	0	0	0	0	0
Ndufa4l2	1.22	NA	NA	NA	-1.15	0.2692	NA	NA	NA	0.9824	0	NA	NA	NA	0
Tuba1b	-1.06	-1.27	-1.07	NA	-1.18	0.2692	0.6991	0.9053	NA	0.9576	0	0	0	NA	0
Vwf	1.09	1.18	1.33	1.29	1.62	0.2693	0.6796	0.518	NA	0.7075	0	0	0	0	0
Bmyc	-1.05	1.04	1.09	-1.36	1.02	0.2694	0.854	0.8911	NA	0.9922	0	0	0	0	0
Pdzd2	1.1	NA	NA	NA	-1.16	0.2695	NA	NA	NA	0.9576	0	NA	NA	NA	0
Gm14123	1.26	NA	NA	NA	NA	0.2695	NA	NA	NA	NA	0	NA	NA	NA	NA
Gm26207	1.13	NA	NA	NA	NA	0.2696	NA	NA	NA	NA	0	NA	NA	NA	NA
Ms4a6c	-1.16	-1.1	-1.06	-1.06	-2.44	0.2696	0.9254	0.8934	NA	0.0578	0	0	0	0	0
Mir491	1.16	NA	NA	NA	NA	0.2696	NA	NA	NA	NA	0	NA	NA	NA	NA
Il17rc	1.1	NA	NA	-1.6	-1.06	0.2696	NA	NA	NA	0.9949	0	NA	NA	0	0
Defb23	-1.08	NA	NA	NA	-2.16	0.2696	NA	NA	NA	0.4954	0	NA	NA	NA	0
Gm29495	1.06	NA	NA	NA	NA	0.2696	NA	NA	NA	NA	0	NA	NA	NA	NA
Stx4a	-1.17	1.24	-1.24	-1.28	1.22	0.2696	0.5199	0.4852	NA	0.9705	0	0	0	0	0
Btd	1.11	-1.03	1.32	-1.14	1.28	0.2696	0.9703	0.5622	NA	0.9309	0	0	0	0	0
Rps15a	1.17	1.58	1.17	1.14	1.29	0.2696	0.1543	0.8086	NA	0.9747	0	0	0	0	0
Dclre1a	-1.14	-1.03	-1.09	1.09	1.15	0.2698	0.9725	0.8304	NA	0.8443	0	0	0	0	0
Morn5	1.02	NA	NA	NA	-1.41	0.2699	NA	NA	NA	0.9754	0	NA	NA	NA	0
Gm14586	1.09	1.02	1.08	NA	NA	0.27	0.976	0.8252	NA	NA	0	0	0	NA	NA
B430306N03Rik	1.13	NA	NA	1.17	-1.61	0.27	NA	NA	NA	0.7447	0	NA	NA	0	0
Gm25431	1.04	NA	NA	NA	NA	0.27	NA	NA	NA	NA	0	NA	NA	NA	NA
Tuba1c	-1.06	-1.11	-1.11	NA	-1.08	0.27	0.842	0.8018	NA	0.929	0	0	0	NA	0
Drd5	1.03	NA	NA	NA	1.13	0.27	NA	NA	NA	0.966	0	NA	NA	NA	0
Pcif1	1.24	NA	NA	NA	1.56	0.27	NA	NA	NA	0.7048	0	NA	NA	NA	0
Svs1	1.08	NA	NA	NA	1.05	0.27	NA	NA	NA	0.9824	0	NA	NA	NA	0
Ccdc160	1.11	NA	NA	NA	NA	0.2701	NA	NA	NA	NA	0	NA	NA	NA	NA
Znfx1	1.09	-1.01	1.1	NA	-1.54	0.2701	0.9721	0.8815	NA	0.3107	0	0	0	NA	0
Myo7a	-1.09	-1.13	-1.33	-1.29	-2.13	0.2701	0.7163	0.5439	NA	0.2003	0	0	0	0	0
Nat14	1.07	NA	NA	NA	1.12	0.2701	NA	NA	NA	0.975	0	NA	NA	NA	0
Sema3b	1.09	1.55	1.63	1.04	-1.03	0.2701	0.3349	0.5373	NA	0.9949	0	0	0	0	0
Plcd4	-1.11	NA	NA	-1.06	-1.24	0.2701	NA	NA	NA	0.9824	0	NA	NA	0	0
Olfr1241	1.08	NA	NA	NA	1.27	0.2701	NA	NA	NA	0.8913	0	NA	NA	NA	0
Usp25	1.1	-1.1	1.03	1.14	-1.42	0.2702	0.9631	0.9618	NA	0.6754	0	0	0	0	0
Gm19028	-1.16	NA	NA	NA	NA	0.2704	NA	NA	NA	NA	0	NA	NA	NA	NA
Mmp1a	-1.06	NA	NA	1.02	1.69	0.2704	NA	NA	NA	0.6757	0	NA	NA	0	0
A530021J07Rik	1.12	NA	NA	NA	NA	0.2704	NA	NA	NA	NA	0	NA	NA	NA	NA
Cyp46a1	1.1	NA	NA	-1.14	1.14	0.2706	NA	NA	NA	0.9489	0	NA	NA	0	0
Vmn1r51	1.12	1.09	1.16	NA	-1.16	0.2707	0.9412	0.6887	NA	0.9438	0	0	0	NA	0
Gm25798	1.11	NA	NA	NA	NA	0.2707	NA	NA	NA	NA	0	NA	NA	NA	NA
Spdye4b	-1.15	NA	NA	NA	1.26	0.2707	NA	NA	NA	0.9348	0	NA	NA	NA	0
Mcmdc2	1.16	NA	NA	NA	-1.39	0.2708	NA	NA	NA	0.9181	0	NA	NA	NA	0
Gm35996	1.19	NA	NA	NA	NA	0.2708	NA	NA	NA	NA	0	NA	NA	NA	NA
Gm25818	1.19	NA	NA	NA	NA	0.2708	NA	NA	NA	NA	0	NA	NA	NA	NA
Usp9x	-1.13	-1.05	1.4	1.05	1.1	0.2708	0.7797	0.2641	NA	0.9962	0	0	0	0	0
Sema4a	1.18	1.25	-1.03	-1.13	1.07	0.2708	0.773	0.946	NA	0.9844	0	0	0	0	0
Uros	1.15	1.12	-1.02	-1.43	1.43	0.2709	0.7269	0.9811	NA	0.8367	0	0	0	0	0
Impg2	1.11	NA	NA	NA	1.51	0.271	NA	NA	NA	0.9161	0	NA	NA	NA	0
Gm23677	1.09	NA	NA	NA	NA	0.271	NA	NA	NA	NA	0	NA	NA	NA	NA
Mir693	1.17	NA	NA	NA	NA	0.2712	NA	NA	NA	NA	0	NA	NA	NA	NA
LOC105244994	1.09	NA	NA	NA	NA	0.2712	NA	NA	NA	NA	0	NA	NA	NA	NA
Gm3867	1.09	NA	NA	NA	NA	0.2712	NA	NA	NA	NA	0	NA	NA	NA	NA
Gm10413	-1.07	NA	NA	NA	-9.14	0.2713	NA	NA	NA	6e-4	0	NA	NA	NA	-1
Gm3424	-1.07	NA	NA	NA	-9.14	0.2713	NA	NA	NA	6e-4	0	NA	NA	NA	-1
Arpp19	-1.11	-1.05	1.09	1	1.07	0.2713	0.8577	0.8524	NA	0.9817	0	0	0	0	0
Nhlh2	1.06	NA	NA	1.11	1.01	0.2713	NA	NA	NA	0.9962	0	NA	NA	0	0
Creg2	1.11	NA	NA	1.08	NA	0.2714	NA	NA	NA	NA	0	NA	NA	0	NA
Cyb5r1	1.05	1.14	1.26	NA	1.54	0.2714	0.8858	0.7145	NA	0.8593	0	0	0	NA	0
Jund	-1.07	-1.47	-1.02	NA	-1.16	0.2714	0.4665	0.9797	NA	0.9827	0	0	0	NA	0
Frmpd1	-1.23	NA	NA	-1.14	-1.14	0.2714	NA	NA	NA	0.9859	0	NA	NA	0	0
1700125H20Rik	1.07	NA	NA	1.11	1.02	0.2715	NA	NA	NA	0.9546	0	NA	NA	0	0
Tnf	-1.17	1.34	-1.02	-1.37	1.34	0.2715	0.6974	0.9877	NA	0.7382	0	0	0	0	0
Cela3b	-1.27	NA	NA	NA	-1.25	0.2715	NA	NA	NA	0.9005	0	NA	NA	NA	0
Gm9956	1.13	NA	NA	NA	NA	0.2715	NA	NA	NA	NA	0	NA	NA	NA	NA
n-R5s64	-1.07	NA	NA	NA	NA	0.2715	NA	NA	NA	NA	0	NA	NA	NA	NA
Gm6798	1.06	NA	NA	NA	NA	0.2715	NA	NA	NA	NA	0	NA	NA	NA	NA
Mrpl10	1.12	NA	NA	-1.45	-1.04	0.2715	NA	NA	NA	0.9832	0	NA	NA	0	0
Atp5s	1.13	NA	NA	-1.11	NA	0.2716	NA	NA	NA	NA	0	NA	NA	0	NA
Vwce	1.1	NA	NA	NA	-1.07	0.2716	NA	NA	NA	0.8797	0	NA	NA	NA	0
Olig3	1.05	NA	NA	1.25	1.12	0.2716	NA	NA	NA	0.9788	0	NA	NA	0	0
Gm17641	1.1	NA	NA	NA	NA	0.2716	NA	NA	NA	NA	0	NA	NA	NA	NA
Cstb	1.14	1.28	1.01	-1.04	-1.12	0.2716	0.9864	0.985	NA	0.8694	0	0	0	0	0
Tmem150a	1.17	-1.04	1.11	NA	-1.06	0.2717	0.9625	0.7615	NA	0.9056	0	0	0	NA	0
A630091E08Rik	1.19	NA	NA	NA	NA	0.2717	NA	NA	NA	NA	0	NA	NA	NA	NA
Ckmt1	-1.1	-1.82	-1.2	-2.52	NA	0.2717	0.8389	0.5608	NA	NA	0	0	0	0	NA
Gm5218	1.08	NA	NA	NA	NA	0.2717	NA	NA	NA	NA	0	NA	NA	NA	NA
Tmem8b	1.07	NA	NA	NA	-1.46	0.2717	NA	NA	NA	0.9489	0	NA	NA	NA	0
Meis2	-1.1	1.07	1.16	NA	-1.38	0.2717	0.9027	0.6589	NA	0.941	0	0	0	NA	0
Per3	1.05	-1.05	1.02	-1.02	-1.1	0.2718	0.9935	0.9757	NA	0.9987	0	0	0	0	0
Rbm3os	1.2	NA	NA	NA	NA	0.2719	NA	NA	NA	NA	0	NA	NA	NA	NA
Snrnp27	1.1	-1.11	1.09	NA	NA	0.2721	0.9543	0.7882	NA	NA	0	0	0	NA	NA
Ube2d3	-1.1	1.23	1.25	-1.2	1.06	0.2721	0.2756	0.8215	NA	0.9804	0	0	0	0	0
Gm10700	1.05	NA	NA	NA	NA	0.2721	NA	NA	NA	NA	0	NA	NA	NA	NA
Slamf9	-1.12	NA	NA	-1.04	-1.36	0.2722	NA	NA	NA	0.8157	0	NA	NA	0	0
Golga2	1.19	NA	NA	-1.01	1.45	0.2723	NA	NA	NA	0.8918	0	NA	NA	0	0
Zfp345	1.19	NA	NA	NA	-1.3	0.2723	NA	NA	NA	0.83	0	NA	NA	NA	0
Gm25188	1.14	NA	NA	NA	NA	0.2723	NA	NA	NA	NA	0	NA	NA	NA	NA
Olfr992	1.16	NA	NA	NA	-1.02	0.2723	NA	NA	NA	0.9967	0	NA	NA	NA	0
Psme2b	1.08	-1.14	1.13	NA	1.08	0.2726	0.5237	0.8294	NA	0.9747	0	0	0	NA	0
Psme2	1.08	-1.14	1.13	-1.48	1.08	0.2726	0.5237	0.8294	NA	0.9747	0	0	0	0	0
Gm24696	1.09	NA	NA	NA	NA	0.2726	NA	NA	NA	NA	0	NA	NA	NA	NA
Ifnb1	-1.28	-1.03	1.02	-1.27	1.03	0.2727	0.9812	0.9699	NA	0.9922	0	0	0	0	0
Col9a2	1.1	1.08	1.08	1.08	-1.04	0.2728	0.9543	0.8536	NA	0.998	0	0	0	0	0
Gm13445	1.3	NA	NA	NA	NA	0.2728	NA	NA	NA	NA	0	NA	NA	NA	NA
Olfr154	1.09	NA	NA	NA	1.31	0.2729	NA	NA	NA	0.737	0	NA	NA	NA	0
Gins3	1.16	NA	NA	NA	3.3	0.273	NA	NA	NA	0.2554	0	NA	NA	NA	0
Kdm6bos	-1.12	NA	NA	NA	NA	0.273	NA	NA	NA	NA	0	NA	NA	NA	NA
Itih2	-1.1	1.1	1.15	-1.11	NA	0.2731	0.9916	0.6647	NA	NA	0	0	0	0	NA
4930546C10Rik	1.09	NA	NA	1.51	NA	0.2731	NA	NA	NA	NA	0	NA	NA	0	NA
Olfr26	1.16	NA	NA	NA	NA	0.2732	NA	NA	NA	NA	0	NA	NA	NA	NA
Gfap	-1.08	-1.11	1.15	1.06	-1.32	0.2733	0.8238	0.6486	NA	0.6159	0	0	0	0	0
Cldn34b4	1.11	NA	NA	NA	-1.22	0.2734	NA	NA	NA	0.9137	0	NA	NA	NA	0
Steap1	1.06	NA	NA	NA	1.24	0.2734	NA	NA	NA	0.7247	0	NA	NA	NA	0
Ptx3	-1.1	-1.08	-1.34	-1.64	-1.19	0.2734	0.6657	0.2821	NA	0.975	0	0	0	0	0
